tweet	Jurisdiction	Jurisdiction - State	Jurisdiction - County	Jurisdiction - Federal	Equipment	Equipment - Machines	Equipment - Ballots	Processes	Processes - Vote Counting	Claim of Fraud	Claim of Fraud - Corruption	Claim of Fraud - Illegal Voting
@DonaldJTrumpJr @martylawson See newest report about massive Democrats fraud Voting. 👇👇👇https://t.co/3Bc70UggTv	1	0	0	1	0	0	0	0	0	1	0	1
Ugh, just learned that a poll in Montana is causing illegal voting issues 🙄 How is this still happening in 2023?!? Time to fix this ASAP 💪 #VotingRights #MontanaPolls #FixTheSystem	1	1	0	0	0	0	0	0	0	1	0	1
Went to vote in Connecticut today, but apparently they let illegal ballots in. Guess I'll just have to wait until the next election to make my voice heard. #vote #CT	1	1	0	0	1	0	1	0	0	1	0	1
Washington's counting of votes is so corrupt that it's making me lose faith in democracy. #vote #democracy	1	1	0	0	0	0	0	1	1	1	1	0
@EricTrump @realDonaldTrump Voter Fraud is the Democrat's Insurance plan if they see on election night Trump is running away with things. They will haul out millions of mail in ballots to be counted. That is why crooked Hillary Clinton is telling Biden NOT to concede on election night. The Fraud Fix is IN. https://t.co/ki3NEar2uq	1	0	0	1	1	0	1	1	1	1	0	1
Vermont's election process is so corrupt! They're counting votes like crazy, and it's making me doubt my vote. #Vermont #Election2020	1	1	0	0	0	0	0	1	1	1	1	0
Yo, in PA they're counting votes like crazy. Don't be a scumbag and vote illegally, or else you might end up in prison. #vote #election #PA	1	1	0	0	0	0	0	1	1	1	0	1
Virginia polls are rigged! 😱 Just learned that in Fairfax County, 75% of voters are influenced by corruption. 🤯 #VirginiaVotes #FairfaxCounty #Corruption	1	1	1	0	0	0	0	0	0	1	1	0
@DotSoop I would like to see that to.. but it won’t happen there are to many states that have voter fraud so deep and intertwined into their systems it won’t happen.look at my state Washington state our governor has barely campaigned and seems to brush off or he’s to hold to debate.	1	1	0	0	0	0	0	0	0	1	0	0
Voting in California's Los Angeles County is being influenced by corruption due to the ballots. 😱 #BallotGate #VoteWithIntegrity	1	1	1	0	1	0	1	0	0	1	1	0
